title,video_id,channel_title,publish_time,description,tags,category_id,view_count,like_count,comment_count,duration,definition,privacy_status
C.J. Gets Held Up by Security | The West Wing,An7jAcWP6gQ,The West Wing,2024-09-16T03:00:13Z,"â€œWhy do you have an ID thatâ€™s not yours?â€

Season 3 Episode 15: Hartsfield's Landing 

WATCH NOW: MAX
https://www.max.com/shows/west-wing/31fff0eb-9628-4b27-9be0-1669c440f210

Subscribe now: 
https://www.youtube.com/channel/UC_O3t-MSO3_31ls9rBvqslQ

This is the official â€œTHE WEST WINGâ€ channel! Stay up to date on President Jed Bartlet and his White House staffâ€™s most inspiring, unforgettable moments.

#TheWestWing #VoteBartlet  #Drama #JedBartlet #AaronSorkin #MartinSheen","#TheWestWing,#drama,JedBartlet,#AaronSorkin,#sam seaborn,#cj cregg,#jed bartlet,#Donna Moss,#DulÃ© Hill,#abbey Bartlet",22,97715,790,38,PT5M11S,hd,public
Itâ€™s Time for the Chief Justice to Resign | The West Wing,sbBHGYVN0Gg,The West Wing,2024-06-29T22:00:39Z,"""Can he even speak?""

Season 5 Episode 7: Separation of Power

WATCH NOW: MAX
https://www.max.com/shows/west-wing/31fff0eb-9628-4b27-9be0-1669c440f210

Subscribe now: 
https://www.youtube.com/channel/UC_O3t-MSO3_31ls9rBvqslQ

This is the official ""THE WEST WING"" channel! Stay up to date on President Jed Bartlet and his White House staff's most inspiring, unforgettable moments.

#TheWestWing #VoteBartlet  #Drama #JedBartlet #AaronSorkin #MartinSheen","#TheWestWing,#drama,JedBartlet,#AaronSorkin,#sam seaborn,#cj cregg,#jed bartlet,#Donna Moss,#DulÃ© Hill,#abbey Bartlet",22,311636,2536,437,PT5M7S,hd,public
National Archives: Sam Seaborn Is Excited to Be Here | The West Wing,Q_-YLrE2LVE,The West Wing,2024-07-12T20:00:16Z,"â€œYeah, I donâ€™t think sheâ€™s getting the leaves.â€

WATCH NOW: MAX
https://www.max.com/shows/west-wing/31fff0eb-9628-4b27-9be0-1669c440f210

Subscribe now: 
https://www.youtube.com/channel/UC_O3t-MSO3_31ls9rBvqslQ

This is the official â€œTHE WEST WINGâ€ channel! Stay up to date on President Jed Bartlet and his White House staffâ€™s most inspiring, unforgettable moments.

#TheWestWing #VoteBartlet  #Drama #JedBartlet #AaronSorkin #MartinSheen","#TheWestWing,#drama,JedBartlet,#AaronSorkin,#sam seaborn,#cj cregg,#jed bartlet,#Donna Moss,#DulÃ© Hill,#abbey Bartlet",22,179370,1425,99,PT1H7M34S,hd,public
The West Wing first speech of the President,CTG5p4wEAAM,Christopher Steinsvik,2012-11-08T00:55:44Z, ,"The West Wing,Pilot,President Bartlet,Awesome",23,2096402,8749,1043,PT3M2S,hd,public
The West Wing: President Walken in the Situation Room,9K31aprx9Nc,Ryan Felmingham,2011-12-11T09:00:09Z,President Walken in the situation room. Both scenes are from Season 5 Episode 1.,"President,Walken,The,West,Wing,the,situation,room",24,1879576,5139,803,PT3M55S,hd,public
West Wing Presidential Debate,VyqzPu5pX6U,knipil,2007-05-19T18:47:15Z,President Jed Bartlet vs. Governor Ritchie,"west,wing,president,debate",24,3689485,11746,N/A,PT3M54S,sd,public
Compilation: A Monologue Worth a Thousand Words | The West Wing,sdzTHvW6bz0,The West Wing,2024-08-08T20:00:19Z,"â€œAll Iâ€™d be doing is watching â€˜Sunday Night Football,â€™ so this works out well for me.â€

WATCH NOW: MAX
https://www.max.com/shows/west-wing/31fff0eb-9628-4b27-9be0-1669c440f210

Subscribe now: 
https://www.youtube.com/channel/UC_O3t-MSO3_31ls9rBvqslQ

This is the official â€œTHE WEST WINGâ€ channel! Stay up to date on President Jed Bartlet and his White House staffâ€™s most inspiring, unforgettable moments.

#TheWestWing #VoteBartlet  #Drama #JedBartlet #AaronSorkin #MartinSheen","#TheWestWing,#drama,JedBartlet,#AaronSorkin,#sam seaborn,#cj cregg,#jed bartlet,#Donna Moss,#DulÃ© Hill,#abbey Bartlet",22,160437,1618,103,PT35M,hd,public
The West Wing - Missile Defense,oQP52M_0tcE,cloudbear,2022-12-06T17:35:30Z,I don't own the West Wing. I just think it's class. Go buy the DVD box set. Don't give Bezos your money though.,,20,97009,776,102,PT3M50S,hd,public
NASA Sent a Fax | The West Wing,z6Ol4sw8iTY,The West Wing,2024-05-17T11:00:59Z,"â€œI'm an assistant, what am I supposed to do with this information?â€

Season 2 Episode 20: The Fall's Gonna Kill You 

WATCH NOW: MAX
https://www.max.com/shows/west-wing/31fff0eb-9628-4b27-9be0-1669c440f210

Subscribe now: 
https://www.youtube.com/channel/UC_O3t-MSO3_31ls9rBvqslQ

This is the official â€œTHE WEST WINGâ€ channel! Stay up to date on President Jed Bartlet and his White House staffâ€™s most inspiring, unforgettable moments.

#TheWestWing #VoteBartlet  #Drama #JedBartlet #AaronSorkin #MartinSheen","#TheWestWing,#drama,JedBartlet,#AaronSorkin,#sam seaborn,#cj cregg,#jed bartlet,#Donna Moss,#DulÃ© Hill",22,233712,2173,113,PT5M7S,hd,public
Can Anyone Stage a Coup? | The West Wing,xgRwZkYcEvc,The West Wing,2024-06-22T20:00:15Z,"â€œShe denied me cider.â€

Season 3 Episode 3: Manchester - Part II

WATCH NOW: MAX
https://www.max.com/shows/west-wing/31fff0eb-9628-4b27-9be0-1669c440f210

Subscribe now: 
https://www.youtube.com/channel/UC_O3t-MSO3_31ls9rBvqslQ

This is the official â€œTHE WEST WINGâ€ channel! Stay up to date on President Jed Bartlet and his White House staffâ€™s most inspiring, unforgettable moments.

#TheWestWing #VoteBartlet  #Drama #JedBartlet #AaronSorkin #MartinSheen","#TheWestWing,#drama,JedBartlet,#AaronSorkin,#sam seaborn,#cj cregg,#jed bartlet,#Donna Moss,#DulÃ© Hill,#abbey Bartlet",22,178198,1463,85,PT5M10S,hd,public
