slug,Show,Type,IP Owner,Streaming,YT Channel,YT Subs,Uploads,Created,YT Views (top 600 videos),YT Views (last 30 days),YT Views/Sub,Estimated Yearly Views,Estimated YT Yearly Earnings,FB Channel,FB followers,FB post frequency (last 2 weeks),Estimated FB Yearly Earnings,Estimated Total Earnings,Seasons,Episodes,Notes,Genre
love_island_usa,Love Island USA,Show,ITV,Peacock,https://www.youtube.com/@LoveIslandUSA,277K,498,4/24/2019,,0.4M,1.4,4.5M,"$9,048 ",https://www.facebook.com/loveislandusa,0.2M,0,"$9,048 ","$18,096 ",,,Active show but on hiatus?,
mad_men,,,,,,,,,,,,,,,,,,,,,,
married_at_first_sight,Married At First Sight,Show,Lifetime,,,,,,,,,,,https://www.facebook.com/MarriedAtFirstSight,1.8M,4,0,$0 ,,,,
matlock,,,,,,,,,,,,,,,,,,,,,,
maury,Maury Povitch,Show,NBCU,Peacock,https://www.youtube.com/@Maury,"2,160K","3,160",12/7/2011,,7.1M,3.3,85.5M,"$171,096 ",https://www.facebook.com/mauryshow,6.4M,10,"$171,096 ","$342,192 ",,,Longer clips on YT (5-10mins posted frequently). Same content posted on FB. Good strategy.,
metv,MeTV,Channel,Weigel,0,https://www.youtube.com/@metvnetwork,71K,"2,000",3/21/2015,,0.5M,7,6.0M,"$11,904 ",https://www.facebook.com/metvnetwork,0.8M,10,"$11,904 ","$23,808 ",,,,
miami_vice,,,,,,,,,,,,,,,,,,,,,,
modern_family,Modern Family,Show,Disney,Hulu,ABC,,,,"1,250.1M",,,0.0M,,https://www.facebook.com/ModernFamily,7.0M,4,$0 ,$0 ,,,Clips on ABC YT channel,
mountain_men,Mountain Men,Show,History,,,,,,,,,,,https://www.facebook.com/mountainmen,0.9M,1,0,$0 ,,,,
my_600_lb_life,My 600lb life,Show,WBD,Max,TLC,,,,462.0M,,,0.0M,,N/A,,,$0 ,$0 ,12,145,Clips on Discovery YT,
naked_and_afraid,Naked and Afraid,Show,WBD,Max,Discovery,,,,374.0M,,,0.0M,,https://www.facebook.com/NakedandAfraid,3.3M,10,$0 ,$0 ,,,,
new_girl,New Girl,Show,Disney/Fox,Disney+/Hulu,,,,,,,,,,https://www.facebook.com/OfficialNewGirl,3.1M,1,,,,,,
nypd_blue,NYPD Blue,Show,Disney/Fox,Disney+/Hulu,,,,,,,,,,,,,,,,,Candian pirate channel,
parks_and_recreation,Parks and Recreation,Show,NBCU,Peacock,https://www.youtube.com/@ParksandRecreation,482K,"1,157",9/7/2012,,20.0M,41.5,240.0M,"$480,000 ",https://www.facebook.com/parksandrecreation,1.8M,1,,,,,,
pawn_stars,Pawn Stars,Show,History,,,,,,,,,,,https://www.facebook.com/PawnStars,7.4M,10,0,$0 ,,,,
prison_break,Prison Break,Show,Disney/Fox,Disney+/Hulu,,,,,813.9M,,,,,https://www.facebook.com/PrisonBreak,12.0M,1,,,,,,
queens_court,Queens Court,Show,NBCU,Peacock,Peacock,,,,,,,,,,,,,,,,,
rachael_ray,The Rachael Ray Show,Show,CBS,Paramount+,,920K,"9,265",8/30/2012,,1.3M,1.4,15.6M,"$31,200 ",https://www.facebook.com/RachaelRayShow,2.1M,0,"$31,200 ","$62,400 ",,,,
rewindtv,RewindTV,Channel,Nexstar,0,https://www.youtube.com/@rewindtv_network,1K,259,3/24/2021,,0.0M,7.1,0.1M,$204 ,https://www.facebook.com/RewindTVNetwork,0.0M,7,$204 ,$408 ,,,,
