title,video_id,channel_title,publish_time,description,tags,category_id,view_count,like_count,comment_count,duration,definition,privacy_status
Unsolved Mysteries with Robert Stack - Season 1 Episode 7 - Full Episode,nbssFfYVYsM,Unsolved Mysteries - Full Episodes,2019-02-28T21:35:07Z,"This episode includes: General Wayne Inn, Paisley Hat & UD, Son of Sam Pt. 2 and Mrs. Millionaire & UD.","FilmRise,Unsolved Mysteries,Free TV,Free,Mystery,Mysteries,Unsolved,General Wayne Inn,Paisley Hat,Son of Sam,David Berkowitz,Robert Stack,Classic TV,True Crime",24,727838,5461,1122,PT42M57S,sd,public
"Unsolved Mysteries with Robert Stack - Season 7, Episode 11 - Full Episode",73o08bTg7hU,Unsolved Mysteries - Full Episodes,2019-03-12T21:44:16Z,"This episode includes: San Marino Bones & UD, Phantom Sub, Police Captain's Death, UD: Baby Girl X and Schoolbus Family & UD.",,24,721010,5573,797,PT47M6S,sd,public
"Unsolved Mysteries with Robert Stack - Season 7, Episode 7 - Full Episode",XFlTcP5p544,Unsolved Mysteries - Full Episodes,2019-03-12T21:44:05Z,"This episode includes: Silent Witness, Mary Celeste, UD: Hoochie Coochie and Sunshine Guys & UD.",,24,707759,4409,557,PT46M49S,sd,public
Unsolved Mysteries with Robert Stack - Season 11 Episode 9 - Full Episode,fh2aqFZgMF4,Unsolved Mysteries - Full Episodes,2019-03-21T21:18:44Z,"This episode includes: Kilgore Isnâ€™t Here & UD, Myrtles Plantation and Gang Mom.",,24,705692,4923,716,PT46M1S,sd,public
Unsolved Mysteries with Robert Stack - Season 2 Episode 5 - Full Episode,POiW93TKNug,Unsolved Mysteries - Full Episodes,2019-03-01T22:00:02Z,"This episode includes: Platinum Pilfer, Update: Orphan Train, Ghost Lights, Greeting Card and Caruana.",,24,691924,5186,1004,PT47M54S,sd,public
"Unsolved Mysteries with Robert Stack - Season 7, Episode 18 - Full Episode",8cZsLB59NgY,Unsolved Mysteries - Full Episodes,2019-03-12T21:44:36Z,"This episode includes: Power of Prayer, Dress Up Escape, Dakota's Double Death and Casino Disappearance.",,24,684105,5278,1323,PT48M17S,sd,public
"Unsolved Mysteries with Robert Stack - Season 6, Episode 22 - Full Episode",TjUraggBI3o,Unsolved Mysteries - Full Episodes,2019-03-11T21:36:46Z,"This episode includes: Boston Strangler (Pts. 1 & 2) & UD, Secret Hiding Place & UD and Wrong Place, Wrong Time.",,24,664902,4661,564,PT49M39S,sd,public
"Unsolved Mysteries with Robert Stack - Season 4, Episode 18 - Full Episode",3kbARV7FBrU,Unsolved Mysteries - Full Episodes,2019-03-15T20:21:17Z,"This episode includes: UFO Odyssey, Reporter's Trucker, Haunted Mansion.",,24,664112,5329,869,PT44M47S,sd,public
Unsolved Mysteries with Robert Stack - Season 1 Episode 13 - Full Episode,fj65Vz0wxp4,Unsolved Mysteries - Full Episodes,2019-02-28T21:35:25Z,"This episode includes: DJ Death & UD, Update: Medford Millions, Missing Valentine Pts. 1 & 2 & UD, Update: Stroke Amnesia and Florida Flim Flam & UD.","Unsolved Mysteries,Robert Stack,Full Episodes,Free TV,FilmRise,Classic TV,Crime,True Crime,Mystery",24,661245,5264,1002,PT49M15S,sd,public
"Unsolved Mysteries with Robert Stack - Season 4, Episode 2 - Full Episode",I-dINR9ajrc,Unsolved Mysteries - Full Episodes,2019-03-08T22:03:07Z,"This episode includes: John Wilkes Booth Pts. 1 & 2, Identical Twins, Man Who Never Was & UD.",,24,657934,5802,1215,PT49M41S,sd,public
