video_id	show_slug	is_ugc	ugc_type	curated_label
Mpbh7CxhTRg	the_sopranos	1		
BDIjCge3H0s	the_sopranos	1		
SnvuyZ_1t2U	the_sopranos	1		
OqwMKcASjzA	the_sopranos	1		
xu8FIma4cVI	the_sopranos	1		
MpjpjkQJ9sE	the_sopranos	1		
hxnoASYmLrk	the_sopranos	1		
YjttGr7T6Kc	the_sopranos	1		
vOVwArQQdiw	the_sopranos	1		
hVYfQcGOtco	the_sopranos	1		
SrzITygNYrw	the_sopranos	1		
fygpjaUdig4	the_sopranos	1		
QYroEMahh5A	the_sopranos	1		
S4LCHgZx57Y	the_sopranos	1		
ykELuxlghAQ	the_sopranos	1		
i_WtIeeSuO0	the_sopranos	1		
rtiGl27jjxs	the_sopranos	1		
WHmNBMkMe10	the_sopranos	1		
gdpOauOqPhI	the_sopranos	1		
WvhEoL7wzCs	the_sopranos	1		
PuWHYJF8Il8	the_sopranos	0		
LolXdZMjglU	the_sopranos	1		
6I1avvzBguw	the_sopranos	1		
7Irf9sR8EXI	the_sopranos	1		
z1KRZKs4of0	the_sopranos	1		
KTTkaao97IM	the_sopranos	1		
6z8cXMx2v7s	the_sopranos	1		
s5VKEGx78vQ	the_sopranos	1		
pTBGr20AE3I	the_sopranos	1		
48RwgwGCDno	the_sopranos	1		
Pu_8yzgnEZg	the_sopranos	1		
aSXKoHmSwF0	the_sopranos	1		
fxuagFBrPkE	the_sopranos	1		
KW8ptUIEf6I	the_sopranos	1		
ggclcCwURh0	the_sopranos	1		
5D3SiQ2ScY8	the_sopranos	1		
lYtFMmByfJk	the_sopranos	1		
WZ8Ts1s4pUI	the_sopranos	1		
pahWbr72VnM	the_sopranos	1		
Aa4LNjBd9U0	the_sopranos	1		
jLWEusr7h58	the_sopranos	1		
pKXNNT16fhE	the_sopranos	1		
cfj9iUOW02Y	the_sopranos	1		
-7BHfJOgm80	the_sopranos	1		
r-ECvI5rD40	the_sopranos	1		
h2F_CdSIpi4	the_sopranos	1		
KIjYvfZtFiA	the_sopranos	1		
phQ6fGd5QR8	the_sopranos	1		
npX1ZOnzcCk	the_sopranos	1		
d8BbOohVgtc	the_sopranos	1		
Wvqi3ng0peQ	the_sopranos	1		
sZIWL-Nrwvw	the_sopranos	1		
45uLNBYwh3I	the_sopranos	1		
CaBrZ3MvGA8	the_sopranos	1		
sLTycWxUULU	the_sopranos	1		
dr6UNy7QPFo	the_sopranos	1		
VdWOCeXVdBI	the_sopranos	1		
y01O9kWzmK4	the_sopranos	1		
SsKlMXGS7Kk	the_sopranos	1		
9q6yWHlC7dw	the_sopranos	1		
5ffvFAIILFw	the_sopranos	1		
xR8NVnY6yYs	the_sopranos	1		
uTpqlmwFgaA	the_sopranos	1		
ASaRkM7QFZc	the_sopranos	1		
_c1y4F8yhT8	the_sopranos	1		
PINhwxnZKD0	the_sopranos	1		
eAdsNiMqO-4	the_sopranos	1		
oLbwnM5KpfM	the_sopranos	1		
KWisK3iZvLY	the_sopranos	1		
